Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5,Terrific Blender!,3-Dec-17,Yes,"<div class=""a-section a-spacing-small a-spacing-top-mini video-block"" id=""video-block-R3UC3MMKGTW2LU""></div><input class=""video-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/C1z4HE4OYKS.mp4""/><input class=""video-slate-img-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/91P1E6J9sOS.png""/>??Just received my Blendtec and I am so pleased with it!.Other reviewers said that it was LOUD. While it is loud, it's just as loud as any other blender. I did not find it especially disruptive. The noisiest part was at the beginning of the cycle when it was blending the frozen fruit. Also reviewers said that the lid flew off when blending. I'm guessing they did not have the lid fastened on properly. On the four sides of the lid are little lips that click onto the jar to keep it in place - which is why it takes me a second to take off the lid in the video..I used the smoothie setting and it made a very consistent and delicious drink! I could still feel the texture of the raspberry seeds, but I think that's to be expected. I was skeptical that a drop of dish-soap and water would clean all the seeds off the side of the jar, but it WORKED! So happy to have such an easy clean-up!.I also used the hot soup setting with some lentil soup I had in the fridge. In 3 mins that soup was steaming! I'm not much of a fan of pureed soups, but if you do like them that setting is awesome! I'm looking forward to making hot cider!.It fits perfectly under my kitchen cabinets!.Registering the blender was super easy on the Blendtec website. I simply had to find the serial number on the bottom of the blender and fill out a form. Amazon is one of their registered stores, so the warranty is effective for 8 years! The user manual is less than terrific - it includes very basic instructions and only a few recipes. I checked out their website though and there are TONS of great looking recipes!.Very happy with my purchase!.EDITED AFTER 1 MONTH:.I wanted to add a couple things I've noticed after some use. First, make sure to always clean it RIGHT AWAY otherwise things get stuck on and it isn't pretty. Sometimes I still need to use a sponge to get some seeds off. Also I've found it has trouble with too much frozens, so try to use a mix of frozen and fresh items!.If you found my review helpful, please click Yes below!",202
1,Don't order this through Amazon,8-Jul-17,Yes,"I've received two defective Blendtec blenders in a row from Amazon. The first one's motor didn't work at all, the second one (replaced the first one) burnt out after about three uses. Either amazon is shipping out all the defective ones, or Blendtec is selling the ones that failed quality control through amazon.",116
5,I finally found my Juicer and so much more,4-Dec-16,Yes,"First I didn't receive a discount or any perks from the company for this review. I'm active duty military and just want to help some people out;-)..Bought this product with the included wild side jar for $238 on cyber Monday, and took the ""nutribullet"" back to Best Buy...Reason I bought:.1. I like making my own juice with whole fruit for me and the family. I have a juicer, but it's cumbersome, messy, you get a small amount of juice, and a lot of pulp on the other side for disposal etc. I needed a better option cause I felt I was loosing all the valuable nutrients from the pulp; and it's a pain in the butt to prep the fruit for juicing along with the cleanup is ???????? (had this product for a couple of years)..2. Bought a nutribullet and it was good. I was able to get more juice from whole fruit, but it left a bit too much pulp to be broken down. More like a smoothie with pulp than juice as far as consistency ( if that's your thing then the nutribullet will be a great option) Kids didn't care for that too much, and neither did I..Bottom line up front (BLUF) The nutribullet worked good, but left a bit too much pulp when using it to juice. (had this product for 1 month and took it back to Best Buy)..3. The blentec total blender with the wild side jar was on sale for $237 ( now $367????) on cybermonday. I bought it due to the $237 ( wife approved) price point and salesman at bestbuy stating all the advantages of this product and the videos showed the consistency of actual juice $300+ at Best Buy . I was ""iffy"" due to the reviews, but took the plunge. This product is great and gets all the fruit into a nice juice consistency with very minimal pulp (if any). It's like the consistency of the naked fruit drinks but maybe a little thinner consistency depending on what fruit you add and how much water. ( I add approximately a half ""measuring cup"" of water per batch; and I fill about 1/2 to 3/4 full of fruit)..I passed on it initially due to the current price, but if I knew how this product performed or had one in the house to review prior to buying...it would have been a no brainier. ( I've had this product for 1 week now) I'll update in a few months to review for longevity of use, and other uses ( soups, smoothies, etc) Hope this helps someone.",79
5,"I've had my eye on getting a nice blender, and I went with Blendtec over Vitamix",20-Dec-16,Yes,"I've had my eye on getting a nice blender, and I went with Blendtec over Vitamix.  Everyone will have their preference, but I went with Blendtec because I've seen how durable they are.  I worked at Starbucks for almost 12 years, and not once did I see a Blendtec go out.  We abused those things so badly: throwing pitchers in the sink, slamming the blades on the rinser, seeing liquid creep into the motor housing.  The pitcher style pours so easily, the base is short enough to fit under my cabinets, and everything blends so smoothly.  It's not quiet, but blenders really shouldn't be.  Only thing I'd like is an additional lid without a feeder hole... occasionally liquid sneaks out of that top gap in the lid, but overall not a deal breaker.  Easy to clean.",49
5,Cleans easy and it works with just a push of a button.,10-Dec-17,Yes,"I bought mine on November 29th for $210 with tax...Like everyone else I was tying to decide between this and a Vitamix. I watched some YouTube videos,I read some reviews here and then the $190 price point finally convinced me. The other factors were the height of the product and the blade shape. It does fit places better and the blade eliminates the need to have to push ingridents down all the time.I didn?€?t want another blender where I had to push crap down...I had an Oster that I used before and I hated the fact that I kept feeling the fruit seeds, I also had to push things down and stop every 15 seconds because the motor was smelling burnt...Blendtec is not louder then your current one, whichever one your using. Is as loud as any other. Also, it runs for 1 minute for every smoothie. Not enough time to drive you nuts...Cleaning it is the best thing ever, compared to the old one where I had to unscrew the blade and the rubber sealing and wash. This one you just need a drop of dish soap and 7 seconds. Also is dishwasher safe...The smoothies come out supe smooth and you can only feel 10% of the seeds when you are making a mixed berry smoothie, compared with the 80% from my previous one...It does have al this technology incorporated where each preset had the speed down to the second so it speeds up and down accordingly. Love that...We bought it for smoothies, every other presets are just perks. I?€?m curious about the ice cream one,.I never tried it and I?€?m scheptical but I?€?ll update...If this blender is going to work for at least 5 years on an almost everyday use...I?€?m a fan. I never tried vitamix but the reviews convinced me that this was a better choice for my needs.",44
1,Quality is worried,1-Apr-18,Yes,"I bought this blender about tow month ago, the usage frequency is about one or twice a week. Today when i after blending a milkshake, a little black plastic chip leaking from bottom if the machine. I wondered what it was, and when i gentlly shaked the machine, i could hear the sound of some other dropped items inside the machine. So i opened the bottom cap with a screwdriver, excactly there were two more scrapes dropped from the bottom fan blakes. The quality is so worried even two months passed. I do request a replacement at least.",29
1,DO NOT BUY,31-Aug-18,Yes,"Very unhappy with Blendtec. We bought this in December 2017 and the motor broke down completely after 2 months of use. We called and they sent us a new motor. We have been trying to use it but it doesn't work like it used to. It is now very loud and we can't use it when our kids are sleeping. Also, it doesn't blend frozen fruit anymore. Just non frozen items. We called tech support again and he was extremely rude and said there is nothing he can do and our blender is supposed to make noise that loud. He said it needs to have 32 oz of water no matter what the recipe and that we weren't using it right. We did not have these issues before the motor broke down the first time so we know this isn't true. Right now our $25 blender works better than the Blendec. I would go with either the Ninja or the Vitamix in the future.",20
1,"this is poor jar, used less 5 times the fruit juice ...",28-Nov-17,Yes,"<div class=""a-section a-spacing-small a-spacing-top-mini video-block"" id=""video-block-RIMDANJD4QI82""></div><input class=""video-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/A1i6f5NMocS.mp4""/><input class=""video-slate-img-url"" name="""" type=""hidden"" value=""https://images-na.ssl-images-amazon.com/images/I/A1JM-hwF0PS.png""/>??this is poor jar,used less 5 times the fruit juice leaks from the bottom..",38
4,"Want to like this but jar leaked at bottom, first blend.",21-Jan-18,Yes,"Nice idea here, nice design...but what is up with the leaking bottom problem with the jar?? I got this for $179, cannot believe the high regular price for this and it comes with a leaky jar?? I have an OLD Hamilton Beach blender, just recently got into making smoothies. The HB, no leaks.  Upped my game to a high quality blender...maybe...As always, AMAZON comes through and is sending a replacement, two day shipping. No problem there. Have a feeling this could be a chronic issue with this Blendtec jar as I have read more on web on this. Did not reach out to Blendtec yet because customer service closed on weekend.  I do not mind paying up for a quallity product but it better work properly and last...Update 1/23/18:  I received the new Blendtec Total Blender from Amazon and so far so good.  No leak at the bottom of the jar.  I also spoke to a very helpful Blendtec customer service rep.  I told her the story and she said it was likely I might have received an older model jar and they have in fact upgraded (something about a new silicon type seal at the bottom) the jar because of the known leaking problem.  I had this conversation with her prior to me trying the second jar out.  I asked her what the proper course of action would be if the second jar leaked.  She reiterated the 8 year warranty, top to bottom, and said they would replace the second jar, no question.  She said their engineers are always interested in these problems and work to fix these issues...Blendtec customer service was excellent.  Owned the problem and offered the fix, no hesitation at all.  Of course this gave me (and possibly you) peace of mind with laying out this kind of money for a blender.  Four stars from two, not enough time/uses to give it a full five stars.",16
1,Leaking water,6-Feb-18,Yes,The Blendtec was broken when we received it. This was not from shipping but from the manufacturer. The gasket was leaking water like other reviews have mentioned. We returned to Amazon with no issues but are still disappointed. We are gonna go with Vitamix instead now. Wish Blendtec would fix their issues.,22
